test_id,node,test_category,test_description,test,result,failure_reason
27,leaf3,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet7 - host3_Ethernet1,PASS,
28,leaf4,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet1 - MLAG_PEER_leaf3_Ethernet1,PASS,
29,leaf4,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet2 - MLAG_PEER_leaf3_Ethernet2,PASS,
30,leaf4,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet3 - P2P_LINK_TO_SPINE1_Ethernet6,PASS,
31,leaf4,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet4 - P2P_LINK_TO_SPINE2_Ethernet6,PASS,
32,leaf4,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet5 - P2P_LINK_TO_SPINE3_Ethernet6,PASS,
33,leaf4,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet9 - ,PASS,
34,leaf4,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet7 - host3_Ethernet2,PASS,
35,spine1,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet3 - P2P_LINK_TO_LEAF1_Ethernet3,PASS,
36,spine1,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet4 - P2P_LINK_TO_LEAF2_Ethernet3,PASS,
37,spine1,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet5 - P2P_LINK_TO_LEAF3_Ethernet3,PASS,
38,spine1,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet6 - P2P_LINK_TO_LEAF4_Ethernet3,PASS,
39,spine2,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet3 - P2P_LINK_TO_LEAF1_Ethernet4,PASS,
40,spine2,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet4 - P2P_LINK_TO_LEAF2_Ethernet4,PASS,
41,spine2,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet5 - P2P_LINK_TO_LEAF3_Ethernet4,PASS,
42,spine2,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet6 - P2P_LINK_TO_LEAF4_Ethernet4,PASS,
43,spine3,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet3 - P2P_LINK_TO_LEAF1_Ethernet5,PASS,
44,spine3,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet4 - P2P_LINK_TO_LEAF2_Ethernet5,PASS,
45,spine3,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet5 - P2P_LINK_TO_LEAF3_Ethernet5,PASS,
46,spine3,Interface State,Ethernet Interface & Line Protocol == "up",Ethernet6 - P2P_LINK_TO_LEAF4_Ethernet5,PASS,
47,leaf1,Interface State,Port-Channel Interface & Line Protocol == "up",Port-Channel1 - MLAG_PEER_leaf2_Po1,PASS,
48,leaf1,Interface State,Port-Channel Interface & Line Protocol == "up",Port-Channel7 - host1_PortChannel host1,PASS,
49,leaf1,Interface State,Port-Channel Interface & Line Protocol == "up",Port-Channel9 - host2_PortChannel host2,PASS,
50,leaf2,Interface State,Port-Channel Interface & Line Protocol == "up",Port-Channel1 - MLAG_PEER_leaf1_Po1,PASS,
51,leaf2,Interface State,Port-Channel Interface & Line Protocol == "up",Port-Channel7 - host1_PortChannel host1,PASS,
52,leaf2,Interface State,Port-Channel Interface & Line Protocol == "up",Port-Channel9 - host2_PortChannel host2,PASS,
53,leaf3,Interface State,Port-Channel Interface & Line Protocol == "up",Port-Channel1 - MLAG_PEER_leaf4_Po1,PASS,
54,leaf3,Interface State,Port-Channel Interface & Line Protocol == "up",Port-Channel7 - host3_PortChannel host3,PASS,
55,leaf4,Interface State,Port-Channel Interface & Line Protocol == "up",Port-Channel1 - MLAG_PEER_leaf3_Po1,PASS,
56,leaf4,Interface State,Port-Channel Interface & Line Protocol == "up",Port-Channel7 - host3_PortChannel host3,PASS,
57,leaf1,Interface State,Vlan Interface & Line Protocol == "up",Vlan4093 - MLAG_PEER_L3_PEERING,PASS,
58,leaf1,Interface State,Vlan Interface & Line Protocol == "up",Vlan4094 - MLAG_PEER,PASS,
59,leaf1,Interface State,Vlan Interface & Line Protocol == "up",Vlan10 - DMZ,PASS,
60,leaf1,Interface State,Vlan Interface & Line Protocol == "up",Vlan20 - Internal,PASS,
61,leaf1,Interface State,Vlan Interface & Line Protocol == "up",Vlan3009 - MLAG_PEER_L3_iBGP: vrf VRF_A,PASS,
62,leaf2,Interface State,Vlan Interface & Line Protocol == "up",Vlan4093 - MLAG_PEER_L3_PEERING,PASS,
63,leaf2,Interface State,Vlan Interface & Line Protocol == "up",Vlan4094 - MLAG_PEER,PASS,
64,leaf2,Interface State,Vlan Interface & Line Protocol == "up",Vlan10 - DMZ,PASS,
65,leaf2,Interface State,Vlan Interface & Line Protocol == "up",Vlan20 - Internal,PASS,
66,leaf2,Interface State,Vlan Interface & Line Protocol == "up",Vlan3009 - MLAG_PEER_L3_iBGP: vrf VRF_A,PASS,
67,leaf3,Interface State,Vlan Interface & Line Protocol == "up",Vlan4093 - MLAG_PEER_L3_PEERING,PASS,
68,leaf3,Interface State,Vlan Interface & Line Protocol == "up",Vlan4094 - MLAG_PEER,PASS,
69,leaf3,Interface State,Vlan Interface & Line Protocol == "up",Vlan10 - DMZ,PASS,
70,leaf3,Interface State,Vlan Interface & Line Protocol == "up",Vlan20 - Internal,PASS,
71,leaf3,Interface State,Vlan Interface & Line Protocol == "up",Vlan3009 - MLAG_PEER_L3_iBGP: vrf VRF_A,PASS,
72,leaf4,Interface State,Vlan Interface & Line Protocol == "up",Vlan4093 - MLAG_PEER_L3_PEERING,PASS,
73,leaf4,Interface State,Vlan Interface & Line Protocol == "up",Vlan4094 - MLAG_PEER,PASS,
74,leaf4,Interface State,Vlan Interface & Line Protocol == "up",Vlan10 - DMZ,PASS,
75,leaf4,Interface State,Vlan Interface & Line Protocol == "up",Vlan20 - Internal,PASS,
76,leaf4,Interface State,Vlan Interface & Line Protocol == "up",Vlan3009 - MLAG_PEER_L3_iBGP: vrf VRF_A,PASS,
77,leaf1,Interface State,Vxlan Interface Status & Line Protocol == "up",Vxlan1,PASS,
78,leaf2,Interface State,Vxlan Interface Status & Line Protocol == "up",Vxlan1,PASS,
79,leaf3,Interface State,Vxlan Interface Status & Line Protocol == "up",Vxlan1,PASS,
80,leaf4,Interface State,Vxlan Interface Status & Line Protocol == "up",Vxlan1,PASS,
81,leaf1,Interface State,Loopback Interface Status & Line Protocol == "up",Loopback0 - EVPN_Overlay_Peering,PASS,
82,leaf1,Interface State,Loopback Interface Status & Line Protocol == "up",Loopback1 - VTEP_VXLAN_Tunnel_Source,PASS,
83,leaf2,Interface State,Loopback Interface Status & Line Protocol == "up",Loopback0 - EVPN_Overlay_Peering,PASS,
84,leaf2,Interface State,Loopback Interface Status & Line Protocol == "up",Loopback1 - VTEP_VXLAN_Tunnel_Source,PASS,
85,leaf3,Interface State,Loopback Interface Status & Line Protocol == "up",Loopback0 - EVPN_Overlay_Peering,PASS,
86,leaf3,Interface State,Loopback Interface Status & Line Protocol == "up",Loopback1 - VTEP_VXLAN_Tunnel_Source,PASS,
87,leaf4,Interface State,Loopback Interface Status & Line Protocol == "up",Loopback0 - EVPN_Overlay_Peering,PASS,
88,leaf4,Interface State,Loopback Interface Status & Line Protocol == "up",Loopback1 - VTEP_VXLAN_Tunnel_Source,PASS,
89,spine1,Interface State,Loopback Interface Status & Line Protocol == "up",Loopback0 - EVPN_Overlay_Peering,PASS,
90,spine2,Interface State,Loopback Interface Status & Line Protocol == "up",Loopback0 - EVPN_Overlay_Peering,PASS,
91,spine3,Interface State,Loopback Interface Status & Line Protocol == "up",Loopback0 - EVPN_Overlay_Peering,PASS,
92,leaf1,LLDP Topology,LLDP topology - validate peer and interface,local: Ethernet1 - remote: leaf2_Ethernet1,PASS,
93,leaf1,LLDP Topology,LLDP topology - validate peer and interface,local: Ethernet2 - remote: leaf2_Ethernet2,PASS,
94,leaf1,LLDP Topology,LLDP topology - validate peer and interface,local: Ethernet3 - remote: spine1_Ethernet3,PASS,
95,leaf1,LLDP Topology,LLDP topology - validate peer and interface,local: Ethernet4 - remote: spine2_Ethernet3,PASS,
96,leaf1,LLDP Topology,LLDP topology - validate peer and interface,local: Ethernet5 - remote: spine3_Ethernet3,PASS,
97,leaf2,LLDP Topology,LLDP topology - validate peer and interface,local: Ethernet1 - remote: leaf1_Ethernet1,PASS,
98,leaf2,LLDP Topology,LLDP topology - validate peer and interface,local: Ethernet2 - remote: leaf1_Ethernet2,PASS,
99,leaf2,LLDP Topology,LLDP topology - validate peer and interface,local: Ethernet3 - remote: spine1_Ethernet4,PASS,
100,leaf2,LLDP Topology,LLDP topology - validate peer and interface,local: Ethernet4 - remote: spine2_Ethernet4,PASS,
101,leaf2,LLDP Topology,LLDP topology - validate peer and interface,local: Ethernet5 - remote: spine3_Ethernet4,PASS,
102,leaf3,LLDP Topology,LLDP topology - validate peer and interface,local: Ethernet1 - remote: leaf4_Ethernet1,PASS,
103,leaf3,LLDP Topology,LLDP topology - validate peer and interface,local: Ethernet2 - remote: leaf4_Ethernet2,PASS,
104,leaf3,LLDP Topology,LLDP topology - validate peer and interface,local: Ethernet3 - remote: spine1_Ethernet5,PASS,
105,leaf3,LLDP Topology,LLDP topology - validate peer and interface,local: Ethernet4 - remote: spine2_Ethernet5,PASS,
106,leaf3,LLDP Topology,LLDP topology - validate peer and interface,local: Ethernet5 - remote: spine3_Ethernet5,PASS,
107,leaf4,LLDP Topology,LLDP topology - validate peer and interface,local: Ethernet1 - remote: leaf3_Ethernet1,PASS,
108,leaf4,LLDP Topology,LLDP topology - validate peer and interface,local: Ethernet2 - remote: leaf3_Ethernet2,PASS,
109,leaf4,LLDP Topology,LLDP topology - validate peer and interface,local: Ethernet3 - remote: spine1_Ethernet6,PASS,
110,leaf4,LLDP Topology,LLDP topology - validate peer and interface,local: Ethernet4 - remote: spine2_Ethernet6,PASS,
111,leaf4,LLDP Topology,LLDP topology - validate peer and interface,local: Ethernet5 - remote: spine3_Ethernet6,PASS,
112,spine1,LLDP Topology,LLDP topology - validate peer and interface,local: Ethernet3 - remote: leaf1_Ethernet3,PASS,
113,spine1,LLDP Topology,LLDP topology - validate peer and interface,local: Ethernet4 - remote: leaf2_Ethernet3,PASS,
114,spine1,LLDP Topology,LLDP topology - validate peer and interface,local: Ethernet5 - remote: leaf3_Ethernet3,PASS,
115,spine1,LLDP Topology,LLDP topology - validate peer and interface,local: Ethernet6 - remote: leaf4_Ethernet3,PASS,
116,spine2,LLDP Topology,LLDP topology - validate peer and interface,local: Ethernet3 - remote: leaf1_Ethernet4,PASS,
117,spine2,LLDP Topology,LLDP topology - validate peer and interface,local: Ethernet4 - remote: leaf2_Ethernet4,PASS,
118,spine2,LLDP Topology,LLDP topology - validate peer and interface,local: Ethernet5 - remote: leaf3_Ethernet4,PASS,
119,spine2,LLDP Topology,LLDP topology - validate peer and interface,local: Ethernet6 - remote: leaf4_Ethernet4,PASS,
120,spine3,LLDP Topology,LLDP topology - validate peer and interface,local: Ethernet3 - remote: leaf1_Ethernet5,PASS,
121,spine3,LLDP Topology,LLDP topology - validate peer and interface,local: Ethernet4 - remote: leaf2_Ethernet5,PASS,
122,spine3,LLDP Topology,LLDP topology - validate peer and interface,local: Ethernet5 - remote: leaf3_Ethernet5,PASS,
123,spine3,LLDP Topology,LLDP topology - validate peer and interface,local: Ethernet6 - remote: leaf4_Ethernet5,PASS,
124,leaf1,MLAG,MLAG State active & Status connected,MLAG,PASS,
125,leaf2,MLAG,MLAG State active & Status connected,MLAG,PASS,
126,leaf3,MLAG,MLAG State active & Status connected,MLAG,PASS,
127,leaf4,MLAG,MLAG State active & Status connected,MLAG,PASS,
128,leaf1,IP Reachability,ip reachability test p2p links,Source: leaf1_Ethernet3 - Destination: spine1_Ethernet3,PASS,
129,leaf1,IP Reachability,ip reachability test p2p links,Source: leaf1_Ethernet4 - Destination: spine2_Ethernet3,PASS,
130,leaf1,IP Reachability,ip reachability test p2p links,Source: leaf1_Ethernet5 - Destination: spine3_Ethernet3,PASS,
131,leaf2,IP Reachability,ip reachability test p2p links,Source: leaf2_Ethernet3 - Destination: spine1_Ethernet4,PASS,
132,leaf2,IP Reachability,ip reachability test p2p links,Source: leaf2_Ethernet4 - Destination: spine2_Ethernet4,PASS,
133,leaf2,IP Reachability,ip reachability test p2p links,Source: leaf2_Ethernet5 - Destination: spine3_Ethernet4,PASS,
134,leaf3,IP Reachability,ip reachability test p2p links,Source: leaf3_Ethernet3 - Destination: spine1_Ethernet5,PASS,
135,leaf3,IP Reachability,ip reachability test p2p links,Source: leaf3_Ethernet4 - Destination: spine2_Ethernet5,PASS,
136,leaf3,IP Reachability,ip reachability test p2p links,Source: leaf3_Ethernet5 - Destination: spine3_Ethernet5,PASS,
137,leaf4,IP Reachability,ip reachability test p2p links,Source: leaf4_Ethernet3 - Destination: spine1_Ethernet6,PASS,
138,leaf4,IP Reachability,ip reachability test p2p links,Source: leaf4_Ethernet4 - Destination: spine2_Ethernet6,PASS,
139,leaf4,IP Reachability,ip reachability test p2p links,Source: leaf4_Ethernet5 - Destination: spine3_Ethernet6,PASS,
140,spine1,IP Reachability,ip reachability test p2p links,Source: spine1_Ethernet3 - Destination: leaf1_Ethernet3,PASS,
141,spine1,IP Reachability,ip reachability test p2p links,Source: spine1_Ethernet4 - Destination: leaf2_Ethernet3,PASS,
142,spine1,IP Reachability,ip reachability test p2p links,Source: spine1_Ethernet5 - Destination: leaf3_Ethernet3,PASS,
143,spine1,IP Reachability,ip reachability test p2p links,Source: spine1_Ethernet6 - Destination: leaf4_Ethernet3,PASS,
144,spine2,IP Reachability,ip reachability test p2p links,Source: spine2_Ethernet3 - Destination: leaf1_Ethernet4,PASS,
145,spine2,IP Reachability,ip reachability test p2p links,Source: spine2_Ethernet4 - Destination: leaf2_Ethernet4,PASS,
146,spine2,IP Reachability,ip reachability test p2p links,Source: spine2_Ethernet5 - Destination: leaf3_Ethernet4,PASS,
147,spine2,IP Reachability,ip reachability test p2p links,Source: spine2_Ethernet6 - Destination: leaf4_Ethernet4,PASS,
148,spine3,IP Reachability,ip reachability test p2p links,Source: spine3_Ethernet3 - Destination: leaf1_Ethernet5,PASS,
149,spine3,IP Reachability,ip reachability test p2p links,Source: spine3_Ethernet4 - Destination: leaf2_Ethernet5,PASS,
150,spine3,IP Reachability,ip reachability test p2p links,Source: spine3_Ethernet5 - Destination: leaf3_Ethernet5,PASS,
151,spine3,IP Reachability,ip reachability test p2p links,Source: spine3_Ethernet6 - Destination: leaf4_Ethernet5,PASS,
152,leaf1,BGP,ArBGP is configured and operating,ArBGP,PASS,
153,leaf2,BGP,ArBGP is configured and operating,ArBGP,PASS,
154,leaf3,BGP,ArBGP is configured and operating,ArBGP,PASS,
155,leaf4,BGP,ArBGP is configured and operating,ArBGP,PASS,
156,spine1,BGP,ArBGP is configured and operating,ArBGP,PASS,
157,spine2,BGP,ArBGP is configured and operating,ArBGP,PASS,
158,spine3,BGP,ArBGP is configured and operating,ArBGP,PASS,
159,leaf1,BGP,ip bgp peer state established (ipv4),bgp_neighbor: 10.255.251.1,PASS,
160,leaf1,BGP,ip bgp peer state established (ipv4),bgp_neighbor: 192.168.103.0,PASS,
161,leaf1,BGP,ip bgp peer state established (ipv4),bgp_neighbor: 192.168.103.2,PASS,
162,leaf1,BGP,ip bgp peer state established (ipv4),bgp_neighbor: 192.168.103.4,PASS,
163,leaf2,BGP,ip bgp peer state established (ipv4),bgp_neighbor: 10.255.251.0,PASS,
164,leaf2,BGP,ip bgp peer state established (ipv4),bgp_neighbor: 192.168.103.6,PASS,
165,leaf2,BGP,ip bgp peer state established (ipv4),bgp_neighbor: 192.168.103.8,PASS,
166,leaf2,BGP,ip bgp peer state established (ipv4),bgp_neighbor: 192.168.103.10,PASS,
167,leaf3,BGP,ip bgp peer state established (ipv4),bgp_neighbor: 10.255.251.5,PASS,
168,leaf3,BGP,ip bgp peer state established (ipv4),bgp_neighbor: 192.168.103.12,PASS,
169,leaf3,BGP,ip bgp peer state established (ipv4),bgp_neighbor: 192.168.103.14,PASS,
170,leaf3,BGP,ip bgp peer state established (ipv4),bgp_neighbor: 192.168.103.16,PASS,
171,leaf4,BGP,ip bgp peer state established (ipv4),bgp_neighbor: 10.255.251.4,PASS,
172,leaf4,BGP,ip bgp peer state established (ipv4),bgp_neighbor: 192.168.103.18,PASS,
173,leaf4,BGP,ip bgp peer state established (ipv4),bgp_neighbor: 192.168.103.20,PASS,
174,leaf4,BGP,ip bgp peer state established (ipv4),bgp_neighbor: 192.168.103.22,PASS,
175,spine1,BGP,ip bgp peer state established (ipv4),bgp_neighbor: 192.168.103.1,PASS,
176,spine1,BGP,ip bgp peer state established (ipv4),bgp_neighbor: 192.168.103.7,PASS,
177,spine1,BGP,ip bgp peer state established (ipv4),bgp_neighbor: 192.168.103.13,PASS,
178,spine1,BGP,ip bgp peer state established (ipv4),bgp_neighbor: 192.168.103.19,PASS,
179,spine2,BGP,ip bgp peer state established (ipv4),bgp_neighbor: 192.168.103.3,PASS,
180,spine2,BGP,ip bgp peer state established (ipv4),bgp_neighbor: 192.168.103.9,PASS,
181,spine2,BGP,ip bgp peer state established (ipv4),bgp_neighbor: 192.168.103.15,PASS,
182,spine2,BGP,ip bgp peer state established (ipv4),bgp_neighbor: 192.168.103.21,PASS,
183,spine3,BGP,ip bgp peer state established (ipv4),bgp_neighbor: 192.168.103.5,PASS,
184,spine3,BGP,ip bgp peer state established (ipv4),bgp_neighbor: 192.168.103.11,PASS,
185,spine3,BGP,ip bgp peer state established (ipv4),bgp_neighbor: 192.168.103.17,PASS,
186,spine3,BGP,ip bgp peer state established (ipv4),bgp_neighbor: 192.168.103.23,PASS,
187,leaf1,BGP,bgp evpn peer state established (evpn),bgp_neighbor: 192.168.101.11,PASS,
188,leaf1,BGP,bgp evpn peer state established (evpn),bgp_neighbor: 192.168.101.12,PASS,
189,leaf1,BGP,bgp evpn peer state established (evpn),bgp_neighbor: 192.168.101.13,PASS,
190,leaf2,BGP,bgp evpn peer state established (evpn),bgp_neighbor: 192.168.101.11,PASS,
191,leaf2,BGP,bgp evpn peer state established (evpn),bgp_neighbor: 192.168.101.12,PASS,
192,leaf2,BGP,bgp evpn peer state established (evpn),bgp_neighbor: 192.168.101.13,PASS,
193,leaf3,BGP,bgp evpn peer state established (evpn),bgp_neighbor: 192.168.101.11,PASS,
194,leaf3,BGP,bgp evpn peer state established (evpn),bgp_neighbor: 192.168.101.12,PASS,
195,leaf3,BGP,bgp evpn peer state established (evpn),bgp_neighbor: 192.168.101.13,PASS,
196,leaf4,BGP,bgp evpn peer state established (evpn),bgp_neighbor: 192.168.101.11,PASS,
197,leaf4,BGP,bgp evpn peer state established (evpn),bgp_neighbor: 192.168.101.12,PASS,
198,leaf4,BGP,bgp evpn peer state established (evpn),bgp_neighbor: 192.168.101.13,PASS,
199,spine1,BGP,bgp evpn peer state established (evpn),bgp_neighbor: 192.168.101.1,PASS,
200,spine1,BGP,bgp evpn peer state established (evpn),bgp_neighbor: 192.168.101.2,PASS,
201,spine1,BGP,bgp evpn peer state established (evpn),bgp_neighbor: 192.168.101.3,PASS,
202,spine1,BGP,bgp evpn peer state established (evpn),bgp_neighbor: 192.168.101.4,PASS,
203,spine2,BGP,bgp evpn peer state established (evpn),bgp_neighbor: 192.168.101.1,PASS,
204,spine2,BGP,bgp evpn peer state established (evpn),bgp_neighbor: 192.168.101.2,PASS,
205,spine2,BGP,bgp evpn peer state established (evpn),bgp_neighbor: 192.168.101.3,PASS,
206,spine2,BGP,bgp evpn peer state established (evpn),bgp_neighbor: 192.168.101.4,PASS,
207,spine3,BGP,bgp evpn peer state established (evpn),bgp_neighbor: 192.168.101.1,PASS,
208,spine3,BGP,bgp evpn peer state established (evpn),bgp_neighbor: 192.168.101.2,PASS,
209,spine3,BGP,bgp evpn peer state established (evpn),bgp_neighbor: 192.168.101.3,PASS,
210,spine3,BGP,bgp evpn peer state established (evpn),bgp_neighbor: 192.168.101.4,PASS,
211,leaf1,Routing Table,Remote VTEP address,192.168.102.1,PASS,
212,leaf1,Routing Table,Remote VTEP address,192.168.102.3,PASS,
213,leaf2,Routing Table,Remote VTEP address,192.168.102.1,PASS,
214,leaf2,Routing Table,Remote VTEP address,192.168.102.3,PASS,
215,leaf3,Routing Table,Remote VTEP address,192.168.102.1,PASS,
216,leaf3,Routing Table,Remote VTEP address,192.168.102.3,PASS,
217,leaf4,Routing Table,Remote VTEP address,192.168.102.1,PASS,
218,leaf4,Routing Table,Remote VTEP address,192.168.102.3,PASS,
219,leaf1,Routing Table,Remote Lo0 address,192.168.101.1,PASS,
220,leaf1,Routing Table,Remote Lo0 address,192.168.101.2,PASS,
221,leaf1,Routing Table,Remote Lo0 address,192.168.101.3,PASS,
222,leaf1,Routing Table,Remote Lo0 address,192.168.101.4,PASS,
223,leaf1,Routing Table,Remote Lo0 address,192.168.101.11,PASS,
224,leaf1,Routing Table,Remote Lo0 address,192.168.101.12,PASS,
225,leaf1,Routing Table,Remote Lo0 address,192.168.101.13,PASS,
226,leaf2,Routing Table,Remote Lo0 address,192.168.101.1,PASS,
227,leaf2,Routing Table,Remote Lo0 address,192.168.101.2,PASS,
228,leaf2,Routing Table,Remote Lo0 address,192.168.101.3,PASS,
229,leaf2,Routing Table,Remote Lo0 address,192.168.101.4,PASS,
230,leaf2,Routing Table,Remote Lo0 address,192.168.101.11,PASS,
231,leaf2,Routing Table,Remote Lo0 address,192.168.101.12,PASS,
232,leaf2,Routing Table,Remote Lo0 address,192.168.101.13,PASS,
233,leaf3,Routing Table,Remote Lo0 address,192.168.101.1,PASS,
234,leaf3,Routing Table,Remote Lo0 address,192.168.101.2,PASS,
235,leaf3,Routing Table,Remote Lo0 address,192.168.101.3,PASS,
236,leaf3,Routing Table,Remote Lo0 address,192.168.101.4,PASS,
237,leaf3,Routing Table,Remote Lo0 address,192.168.101.11,PASS,
238,leaf3,Routing Table,Remote Lo0 address,192.168.101.12,PASS,
239,leaf3,Routing Table,Remote Lo0 address,192.168.101.13,PASS,
240,leaf4,Routing Table,Remote Lo0 address,192.168.101.1,PASS,
241,leaf4,Routing Table,Remote Lo0 address,192.168.101.2,PASS,
242,leaf4,Routing Table,Remote Lo0 address,192.168.101.3,PASS,
243,leaf4,Routing Table,Remote Lo0 address,192.168.101.4,PASS,
244,leaf4,Routing Table,Remote Lo0 address,192.168.101.11,PASS,
245,leaf4,Routing Table,Remote Lo0 address,192.168.101.12,PASS,
246,leaf4,Routing Table,Remote Lo0 address,192.168.101.13,PASS,
247,leaf1,Loopback0 Reachability,Loopback0 Reachability,Source: leaf1 - 192.168.101.1 Destination: 192.168.101.1,PASS,
248,leaf1,Loopback0 Reachability,Loopback0 Reachability,Source: leaf1 - 192.168.101.1 Destination: 192.168.101.2,PASS,
249,leaf1,Loopback0 Reachability,Loopback0 Reachability,Source: leaf1 - 192.168.101.1 Destination: 192.168.101.3,PASS,
250,leaf1,Loopback0 Reachability,Loopback0 Reachability,Source: leaf1 - 192.168.101.1 Destination: 192.168.101.4,PASS,
251,leaf1,Loopback0 Reachability,Loopback0 Reachability,Source: leaf1 - 192.168.101.1 Destination: 192.168.101.11,PASS,
252,leaf1,Loopback0 Reachability,Loopback0 Reachability,Source: leaf1 - 192.168.101.1 Destination: 192.168.101.12,PASS,
253,leaf1,Loopback0 Reachability,Loopback0 Reachability,Source: leaf1 - 192.168.101.1 Destination: 192.168.101.13,PASS,
254,leaf2,Loopback0 Reachability,Loopback0 Reachability,Source: leaf2 - 192.168.101.2 Destination: 192.168.101.1,PASS,
255,leaf2,Loopback0 Reachability,Loopback0 Reachability,Source: leaf2 - 192.168.101.2 Destination: 192.168.101.2,PASS,
256,leaf2,Loopback0 Reachability,Loopback0 Reachability,Source: leaf2 - 192.168.101.2 Destination: 192.168.101.3,PASS,
257,leaf2,Loopback0 Reachability,Loopback0 Reachability,Source: leaf2 - 192.168.101.2 Destination: 192.168.101.4,PASS,
258,leaf2,Loopback0 Reachability,Loopback0 Reachability,Source: leaf2 - 192.168.101.2 Destination: 192.168.101.11,PASS,
259,leaf2,Loopback0 Reachability,Loopback0 Reachability,Source: leaf2 - 192.168.101.2 Destination: 192.168.101.12,PASS,
260,leaf2,Loopback0 Reachability,Loopback0 Reachability,Source: leaf2 - 192.168.101.2 Destination: 192.168.101.13,PASS,
261,leaf3,Loopback0 Reachability,Loopback0 Reachability,Source: leaf3 - 192.168.101.3 Destination: 192.168.101.1,PASS,
262,leaf3,Loopback0 Reachability,Loopback0 Reachability,Source: leaf3 - 192.168.101.3 Destination: 192.168.101.2,PASS,
263,leaf3,Loopback0 Reachability,Loopback0 Reachability,Source: leaf3 - 192.168.101.3 Destination: 192.168.101.3,PASS,
